ID,Abstraction,Prompt,Story
1,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: ともこ, さやか
テーマ: 「学校生活」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","ともことさやかは、同じクラスの友達です。毎日、二人は学校に行きます。今日、先生は「休み時間に外で遊びましょう」と言いました。ともこはうれしくなりました。「外でサッカーをしよう！」とさやかに言いました。

二人は外に出て、友達と一緒にサッカーを始めました。ともこはボールを上手に蹴ります。さやかもがんばって走ります。友達は「すごい！」「もっとやろう！」と楽しそうです。

休み時間が終わると、二人は教室に戻ります。「楽しかったね！」とともこが言いました。「うん、またサッカーしよう！」とさやかも喜びました。

午後、授業が終わると、二人は一緒に帰ります。「明日も学校に来ようね！」とともこが言いました。「もちろん！また遊ぼう！」とさやかが返します。

こうして、二人の毎日は楽しい学校生活でいっぱいです。"
1,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""学校生活""
Characters: ともこ, さやか

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",ともこは学校でさやかと友達だ。毎日、一緒に教室に行く。今日、二人は図書室で本を読んだ。面白い話を見つけて、笑った。お昼になり、校庭でお弁当を食べた。とても楽しい時間だった。「明日も一緒に来よう！」とともこが言った。さやかは笑ってうなずいた。
1,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 夜、悲しい、月曜日、傾向

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜ながらも
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","月曜日の夜、空には美しい月が輝いていた。しかし、私は悲しい気持ちでそれを見ていた。最近、友達とうまくいかなくなり、孤独を感じていた。いつもなら明るい気持ちになれる月の光も、今日は私をさらに悲しくさせた。

私は公園を歩きながら、過去の楽しかった思い出を振り返った。友達と一緒に笑っていた頃は、こんな気持ちはなかった。人とのつながりがあったからだ。しかし、最近はその傾向が変わってしまった。何がいけなかったのだろうと考えながら、心の中に重い雲があるように感じた。

「どうしてこんなに孤独なのかな」と思いつつ、月を見上げた。月はいつもそこにあった。しかし、私の心の中は暗いままだった。友達を失ったことは寂しいことだが、また新しい出会いがあることを願って、私は静かに夜を過ごすことにした。"
1,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ250文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。","ある日、小さな村に住む男の子、タケルがいました。タケルは毎日川で遊ぶのが好きでした。ある朝、タケルは川のほとりで光るものを見つけました。それは美しい石でした。タケルはその石を家に持って帰りました。お母さんはその石を見て、「とてもきれいだね」と言いました。

次の日、タケルは友達のユウと一緒に川に行きました。ユウはその石を見て、「これ、私にも見せて！」と言いました。タケルは石を渡しましたが、ユウは石を川に落としてしまいました。タケルはびっくりしましたが、ユウは謝りました。

タケルは深く息を吸い、「大丈夫、友達だから」と言いました。二人は新しい石を探しに行きました。最後に、二人はもっと大きな石を見つけて、お互いに笑いました。その日、タケルは友達の大切さを学びました。"
2,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: みさき, ちひろ
テーマ: 「スポーツ」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","みさきとちひろは、友達です。ふたりは、学校のサッカーチームに入っています。

ある日、大きな試合があります。みさきは緊張しています。「ちひろ、どうしよう。私、緊張している」と言います。ちひろは笑って、「だいじょうぶ！一緒に頑張ろう！」と言いました。

試合の時間になりました。みんながスタジアムにいます。観客が応援しています。試合が始まると、みさきはボールを蹴ります。とても速いボールです！ちひろはゴールに向かって走ります。

みさきはパスをします。ちひろはボールを受け取り、敵の選手をかわします。そして、ゴール！ボールがネットに入ります！みんなが大きな声で叫びます。「やった！」

試合が終わり、チームは勝ちました。みさきとちひろはハイタッチをしました。「私たち、最高だね！」とみさきが言いました。ちひろはにっこり笑いました。二人はスポーツが大好きです。これからも一緒に頑張ります。"
2,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""スポーツ""
Characters: みさき, ちひろ

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",みさきとちひろは友達で、毎日公園でスポーツをしました。今日はバスケットボールをします。みさきはシュートが上手ですが、ちひろは少し下手です。「大丈夫、練習しよう！」とみさきが言いました。二人は笑いながら、一生懸命練習しました。
2,A3,"以下の語彙（N4 + 高度な語彙1語）をすべて使って、日本語の物語を書いてください。

語彙: 便利、新聞、水、促進

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・次の高度な文法も1回だけ使用しても構いません: 〜てみる
・300文字以内にしてください。
・説明や前置きは書かず、物語本文のみを出力してください。","ある日、山田さんは便利なニュースアプリを使ってみることにしました。毎朝、彼は新聞を読む代わりに、そのアプリで最新の情報を得ていました。アプリは水のようにスムーズに情報を表示してくれます。ニュースを読みながら、山田さんは友達にシェアすることを決めました。

「このアプリは本当にいいよ」と友達に促進しました。友達も興味を持ち、早速ダウンロードしました。次の日、友達は山田さんに「本当に便利だね！今までの新聞よりずっと早い！」と言いました。二人は、アプリがあれば、いつでもどこでも情報を手に入れられることに大喜びです。山田さんは、新聞を読む時間が減った分、趣味の時間を増やすことができました。これからも、この便利なアプリを使い続けることでしょう。"
2,A4,"日本語で短い物語を書いてください。

・目標文字数はおよそ225文字です。できるだけ正確に合わせてください。
・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・他のテキスト（説明や挨拶など）は不要です。物語本文のみを書いてください。","ある日、たけしは公園に行きました。公園にはたくさんの花がありました。たけしは花を見て、とても嬉しくなりました。花の中に、赤い花と黄色い花がありました。たけしは赤い花が好きでした。

公園を歩いていると、小さな白い犬に出会いました。犬は元気に走り回っていました。たけしは犬に近づきました。「こんにちは、かわいい犬！」とたけしは言いました。犬はしっぽをふりました。

たけしは犬をなでながら、楽しい時間を過ごしました。すると、犬は急に走り出しました。たけしは犬の後を追いかけました。犬は公園の端にある大きな木の下で止まりました。

たけしは犬のそばに行きました。「あなたもここが好きなの？」とたけしは言いました。犬はまたしっぽをふって、たけしを見るのでした。たけしは笑って、楽しい一日を終えました。"
3,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: みさき, だいち
テーマ: 「冒険」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","ある日、みさきとだいちは森に行きました。ふたりは冒険が大好きでした。森の中で不思議な道を見つけました。「あそこに行こう！」とみさきが言いました。だいちはうなずきました。

道を進むと、小さな川がありました。「きれいな水だね！」とみさきが言いました。だいちは水を手で触りました。すると、魚がピョンと飛び跳ねました。「魚だ！捕まえたい！」とみさきが言いました。

ふたりは魚を追いかけましたが、魚は速くて逃げてしまいました。だいちは少し残念でしたが、「また来ようよ！」と言いました。みさきも笑って「うん、次はピクニックにしよう！」と言いました。

こうしてふたりは森を出て、家に帰りました。冒険は楽しかったけれど、友達と一緒だったからもっと楽しかったです。次の冒険を楽しみにしながら、ふたりは夢の中へ入りました。"
3,A2,"Please write a short story in Japanese using the following theme and characters.

Theme: ""冒険""
Characters: みさき, だいち

- The story must be in Japanese only.
- Use only vocabulary, grammar, and kanji from JLPT N4 or below.
- Keep it under 300 characters.
- Do not include any introductory or explanatory text — only the story body.",みさきとだいちは、山に冒険に行った。二人は友達で、いつも一緒に遊ぶ。山の上に着くと、きれいな景色が見えた。みさきは「すごい！」と言った。だいちも「とても楽しいね！」と笑った。帰り道、ふたりはお菓子を分け合い、また冒険したいと話した。
