ID,Abstraction,Prompt,Story,Length,Required Length ,Coherence,Grammar,Vocab,Kanji,Length,Totals,Notes,Cross-Evaluated?,Abstraction Group,AVERAGE,Average w/out length
84,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: ちひろ, ゆり
テーマ: 「自然」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","ちひろとゆりは、友だちです。ある日、二人は公園に行きました。公園にはたくさんの木と花がありました。風が吹いて、木の葉が揺れました。

「見て、ちょうちょがいるよ！」とゆりが言いました。ちひろはちょうちょを見て、うれしくなりました。ちょうちょは黄色と黒のきれいな色をしています。

「花の近くに行こう！」とちひろが言いました。二人は花のところに近づきました。ピンクや青の花がとてもきれいです。ゆりは花の香りをかぎました。「いい匂い！」と言いました。

その時、鳥の声が聞こえました。「あ、鳥が飛んでる！」とちひろが言いました。鳥は空を高く飛びました。

ちひろとゆりは自然を楽しみながら遊びました。笑い声が公園にひびきました。二人は「また来ようね！」と言って帰りました。自然は素敵で、心がやすらぎました。",351,300,4,3,3,1,2,13,"5 OOS kanji, 1 Incorrect Particle, 2 OOS vocab",0,A1:,14.93,12.88
54,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: たろう, こうた
テーマ: 「スポーツ」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","たろうとこうたは、友達です。二人は学校のサッカーチームに入っています。毎日、放課後に公園で練習します。

ある日、たろうはこうたに言いました。「明日、試合があるよ！がんばろう！」こうたはうなずいて、「うん！私たちは勝つ！」と言いました。

試合の日が来ました。たくさんの人が見ています。たろうはボールを持って走ります。こうたはゴール前にいます。敵の選手が来ました。たろうはボールをパスしました。こうたは強くキックしました。

ボールはゴールに入ります！みんなが「やった！」と叫びます。たろうとこうたはハイタッチをしました。「すごい！勝ったね！」たろうが言いました。

試合が終わると、二人はお祝いにアイスクリームを食べに行きました。これからも、たくさん練習して、もっと強くなりたいです。",343,300,4,4,3,2,3,16,"4 OOS kanji,  1 OOS vocab",0,A2:,20.00,15.00
71,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: あすか, けい
テーマ: 「夢」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","あすかとけいは、友達です。ある晩、二人は星空を見ながら話しました。

「ねえ、あすか。君の夢は何？」とけいが言いました。

あすかは少し考えてから、「私は絵を描くことが好きだから、素敵な絵描きになりたい」と答えました。

「すごい！僕も夢があるよ。サッカー選手になりたいんだ！」とけいは笑顔で言いました。

「じゃあ、一緒に頑張ろう！」あすかは言いました。

次の日、あすかは公園で絵を描き、けいはサッカーの練習をしました。あすかはけいのドリブルを見ていて、「すごい！」と言いました。けいはあすかの絵を見て、「この絵はきれいだね！」と褒めました。

時が経つと、あすかの絵はみんなに見られ、けいは地元のサッカーチームに入ることができました。

二人は夢を持って、いつもお互いを応援しました。夢は大切だと感じる毎日でした。",360,300,4,3,1,0,2,10,"12 OOS kanji, 8 OOS vocab",0,A3:,16.26,11.93
46,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: かずき, みさき
テーマ: 「旅行」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","かずきとみさきは、友だちです。二人は旅行に行くことにしました。春の日、早く起きて、駅へ行きました。かずきは「今日は楽しい旅行にしよう！」と言いました。みさきは「うん、いいね！」と笑いました。

電車に乗ると、窓から景色が見えます。山や川、そして花がいっぱいです。かずきは「見て！あの花、きれい！」と言いました。みさきも「本当にきれい！」と答えました。

駅について、二人はお弁当を食べました。お弁当はおいしくて、二人は幸せでした。その後、山に登ることにしました。山の上は空が青く、風が気持ちいいです。

みさきは「ここからの景色、すごい！」と言い、かずきも同じ気持ちでした。二人は写真をたくさん撮りました。そして、楽しい思い出ができました。帰りの電車で、二人は「また旅行しようね！」と約束しました。",349,300,4,4,3,2,3,16,3 OOS kanji,0,A4:,14.31,13.38
45,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: しんじ, はなこ
テーマ: 「スポーツ」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","しんじとあかりは友達です。二人は毎週土曜日に公園でサッカーをします。今日はとてもいい天気です。しんじはサッカーが大好きです。はなこもサッカーが上手です。

しんじはボールを持って、はなこにパスします。「受け取って！」と叫びます。はなこはボールを受け取り、すぐにゴールに向かって走ります。「よし、シュート！」と叫びながら、はなこは力いっぱいボールを蹴ります。

ボールはゴールに入ります！「やった、ゴールだ！」と二人は一緒に喜びます。しんじははなこをハイタッチしました。「次も頑張ろう！」としんじは言います。

二人はまたサッカーを続けます。楽しい一日でした。スポーツは友達をもっと近くにします。春の空の下、しんじとはなこの笑い声が響きます。",320,300,4,4,4,2,4,18,4 OOS kanji,0,,,
40,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: まなみ, しゅん
テーマ: 「冒険」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","まなみとしゅんは友達です。ある日、二人は公園で遊んでいました。公園の奥に、大きな木がありました。まなみはその木を見て、「あの木の上に登ってみたい！」と言いました。

しゅんは少し怖がりましたが、「いいよ、一緒に行こう！」と答えました。二人は木に近づきました。木の trunk (幹)は太くて、登りやすそうでした。まなみが最初に登り始めました。しゅんも後ろからついていきました。

少し登ると、二人は高いところに着きました。木の上から公園が小さく見えます。「わあ、きれい！」とまなみは言いました。しゅんも「うん、すごい！」と言いました。

急に風が吹いてきました。でも、二人は楽しんでいました。冒険はとても楽しいです。しばらく木の上で遊んだ後、二人はまた下りることにしました。無事に地面に着いたとき、二人は笑って、「また冒険しよう！」と約束しました。",374,300,3,4,3,3,2,15,"english usage, 2 OOS kanji, 1 OOS vocab",0,,,
23,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: さとし, ともや
テーマ: 「旅行」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","さとしとともやは、夏休みに旅行に行くことにしました。二人は、富士山を見たいと思いました。朝、早く家を出ました。電車に乗って、旅が始まりました。

「富士山、楽しみだね！」とさとしが言いました。「うん、すごく大きいかな？」とともやも excited です。電車は約二時間で到着しました。

外に出ると、青い空と緑の山が見えました。二人は、さっそく富士山を目指しました。途中で、きれいな川を見つけました。「泳ぎたい！」とともやが言いました。さとしは、「じゃあ、少しだけ泳ごう」と答えました。

川で遊んだ後、富士山の近くの村に行きました。村には美味しい食べ物がありました。特に、地元のうどんが大好きでした。

夕方、富士山が夕日で赤くなりました。「きれいだね！」と二人は感動しました。この旅行は、特別な思い出になりました。帰りの電車で、二人は笑って話しました。「来年も旅行に行こうね！」とさとしが言いました。「う",404,300,3,3,4,3,0,13,"2 minor grammar errors, english usage, 2 oos kanji",1,,,
81,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: けんじ, たかし
テーマ: 「買い物」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","けんじとたかしは、買い物に行きました。ふたりはスーパーに行きました。けんじは果物が好きです。彼はりんごを買いたいと言いました。「たかし、りんごを見て！」けんじは言いました。

たかしは「いいよ！」と言って、りんごのところに行きました。りんごは赤くておいしそうでした。けんじはたくさんのりんごを選びました。

次に、ふたりは野菜のコーナーに行きました。たかしはにんじんが好きです。たかしは「にんじんを買おう！」と言いました。けんじも「いいね！」と言いました。

ふたりはかごにりんごとにんじんを入れました。そして、レジに行きました。お金を払うと、かばんに持ち帰る食べ物がいっぱい入りました。

「今日は楽しかったね！」とけんじは言いました。「うん、また買い物しよう！」とたかしは笑いました。ふたりは家に帰って、りんごとにんじんをともだちにあげました。",374,300,3,4,4,4,2,17,somewhat unnatural,1,,,
11,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: そうた, さやか
テーマ: 「スポーツ」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","そうたとさやかは、学校のサッカーチームのメンバーです。毎日、放課後に公園で練習します。そうたはすばやく走ることが得意です。さやかはボールを上手に蹴ることができます。

ある日、学校の試合があります。チームはとても緊張しています。そうたは「大丈夫！みんなで頑張ろう」と言いました。さやかは「私たちの力を信じよう！」と応えました。

試合が始まりました。相手チームは強いですが、そうたとさやかはあきらめません。そうたはボールを取りに行き、さやかにパスを出します。さやかはボールを受け取り、ゴールに向かってシュート！ボールはゴールに入ります！

みんなは喜びました。試合は勝ちました。そうたとさやかは「仲間と一緒に勝てたね！」と笑顔で話しました。スポーツを通じて、二人はもっと仲良くなりました。これからも一緒に練習し続けます。",360,300,4,4,3,1,2,14,"6 OOS kanji, 2 OOS vocab",0,,,
1,A1,"次のキャラクターとテーマを使って、短い日本語の物語を書いてください。

キャラクター: ともこ, さやか
テーマ: 「学校生活」

・JLPT N4レベル以下の語彙、文法、漢字のみを使用してください。
・300文字以内にしてください。
・説明文や前置きは不要です。物語本文のみを書いてください。","ともことさやかは、同じクラスの友達です。毎日、二人は学校に行きます。今日、先生は「休み時間に外で遊びましょう」と言いました。ともこはうれしくなりました。「外でサッカーをしよう！」とさやかに言いました。

二人は外に出て、友達と一緒にサッカーを始めました。ともこはボールを上手に蹴ります。さやかもがんばって走ります。友達は「すごい！」「もっとやろう！」と楽しそうです。

休み時間が終わると、二人は教室に戻ります。「楽しかったね！」とともこが言いました。「うん、またサッカーしよう！」とさやかも喜びました。

午後、授業が終わると、二人は一緒に帰ります。「明日も学校に来ようね！」とともこが言いました。「もちろん！また遊ぼう！」とさやかが返します。

こうして、二人の毎日は楽しい学校生活でいっぱいです。",351,300,3,3,4,3,2,15,"1 OOS kanji, 1 grammar mistake, 1 tense mistake",0,,,
